id,identifier,trip_date,vehicle_id,driver_id
1393430,Jayadeva,04/23/23,1000108,1000296
1393431,Jayadeva,04/24/23,1000108,1000296
1393432,Kaggadasapura,04/24/23,1000108,1000296
1393433,Kammanahalli,04/24/23,1000108,1000296
1393434,Kengeri,04/24/23,1000108,1000296
1393435,Kudulu,04/24/23,1000108,1000296
1393436,Nagharbavi,04/24/23,1000108,1000296
1393437,Varthur,04/24/23,1000176,1000301
1393409,Arekere,04/22/23,1000108,1000296
1393410,Begur,04/22/23,1000233,1000263
1393411,Begur,04/21/23,1000233,1000263
1393412,Hebbal,04/22/23,1000108,1000296
1393413,Hebbal,04/22/23,1000108,1000296
1393414,HSR Layout,04/22/23,1000233,1000263
1393415,Jayadeva,04/21/23,1000108,1000296
1393416,Jayadeva,04/22/23,1000108,1000296
1393417,Kammanahalli,04/22/23,1000108,1000296
1393418,Kengeri,04/22/23,1000108,1000296
1393419,Kudulu,04/22/23,1000108,1000296
1393420,Nagharbavi,04/22/23,1000108,1000296
1393421,Varthur,04/22/23,1000176,1000301
1393521,Jayadeva,04/21/23,1000233,1000263
1393396,Arekere,04/21/23,1000108,1000296
1393397,Begur,04/21/23,1000233,1000263
1393398,Begur,04/20/23,1000233,1000263
1393399,Hebbal,04/21/23,1000108,1000296
1393400,Hebbal,04/21/23,1000108,1000296
1393401,HSR Layout,04/21/23,1000233,1000263
1393402,Jayadeva,04/20/23,1000233,1000263
1393403,Jayadeva,04/21/23,1000108,1000296
1393404,Kammanahalli,04/21/23,1000108,1000296
1393405,Kengeri,04/21/23,1000108,1000296
1393406,Kudulu,04/21/23,1000108,1000296
1393407,Nagharbavi,04/21/23,1000108,1000296
1393408,Varthur,04/21/23,1000176,1000301
1393383,Arekere,04/20/23,1000108,1000296
1393384,Begur,04/20/23,1000233,1000263
1393385,Begur,04/19/23,1000233,1000263
1393386,Hebbal,04/20/23,1000108,1000296
1393387,Hebbal,04/20/23,1000108,1000296
1393388,HSR Layout,04/20/23,1000233,1000263
1393389,Jayadeva,04/19/23,1000233,1000263
1393390,Jayadeva,04/20/23,1000108,1000296
1393391,Kammanahalli,04/20/23,1000108,1000296
1393392,Kengeri,04/20/23,1000108,1000296
1393393,Kudulu,04/20/23,1000108,1000296
1393394,Nagharbavi,04/20/23,1000108,1000296
1393395,Varthur,04/20/23,1000176,1000301
1393530,MG Road To Office,04/20/23,1000225,1000372
1393520,Balegere,04/19/23,1000233,1000263
1393529,MG Road To Office,04/19/23,1000225,1000372
1393370,Arekere,04/19/23,1000108,1000296
1393371,Begur,04/19/23,1000233,1000263
1393372,Begur,04/18/23,1000233,1000263
1393373,Hebbal,04/19/23,1000108,1000296
1393374,Hebbal,04/19/23,1000108,1000296
1393375,HSR Layout,04/19/23,1000233,1000263
1393376,Jayadeva,04/18/23,1000108,1000296
1393377,Jayadeva,04/19/23,1000108,1000296
1393378,Kammanahalli,04/19/23,1000108,1000296
1393379,Kengeri,04/19/23,1000108,1000296
1393380,Kudulu,04/19/23,1000108,1000296
1393381,Nagharbavi,04/19/23,1000108,1000296
1393382,Varthur,04/19/23,1000176,1000301
1393423,Naganathapura,04/19/23,1000108,1000296
1393357,Arekere,04/18/23,1000233,1000263
1393358,Begur,04/18/23,1000233,1000263
1393359,Begur,04/17/23,1000233,1000263
1393360,Hebbal,04/18/23,1000108,1000296
1393361,Hebbal,04/18/23,1000108,1000296
1393362,HSR Layout,04/18/23,1000233,1000263
1393363,Jayadeva,04/17/23,1000108,1000296
1393364,Jayadeva,04/18/23,1000108,1000296
1393365,Kammanahalli,04/18/23,1000087,1000186
1393366,Kengeri,04/18/23,1000108,1000296
1393367,Kudulu,04/18/23,1000108,1000296
1393368,Nagharbavi,04/18/23,1000108,1000296
1393369,Varthur,04/18/23,1000176,1000301
1393422,Kaggadasapura,04/18/23,1000108,1000296
1393519,Balegere,04/18/23,1000233,1000263
1393528,MG Road To Office,04/18/23,1000225,1000372
1393518,Balegere,04/17/23,1000233,1000263
1393344,Arekere,04/17/23,1000233,1000263
1393345,Begur,04/17/23,1000233,1000263
1393346,Begur,04/16/23,1000233,1000263
1393347,Hebbal,04/17/23,1000108,1000296
1393348,Hebbal,04/17/23,1000108,1000296
1393349,HSR Layout,04/17/23,1000233,1000263
1393350,Jayadeva,04/16/23,1000108,1000296
1393351,Jayadeva,04/17/23,1000108,1000296
1393352,Kammanahalli,04/17/23,1000087,1000186
1393353,Kengeri,04/17/23,1000108,1000296
1393354,Kudulu,04/17/23,1000233,1000263
1393355,Nagharbavi,04/17/23,1000108,1000296
1393356,Varthur,04/17/23,1000176,1000301
1393328,Arekere,04/15/23,1000108,1000296
1393329,Begur,04/15/23,1000233,1000263
1393330,Begur,04/14/23,1000233,1000263
1393331,Hebbal,04/15/23,1000108,1000296
1393332,Hebbal,04/15/23,1000108,1000296
1393333,HSR Layout,04/15/23,1000233,1000263
