id,registration_no,model_id,route_no,driver_id,status,tracking_status,off_duty_start_time,off_duty_end_time,insurance_expiry_date,insurance_company_name,insurance_type,electric
1000173,KA51AB8060,1000003,SD038,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000174,KA03AD7490,1000003,SD039,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000175,KA02AD5193,1000003,SD040,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000176,KA53C5830,1000003,HBD002,1000301,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000177,KA05AG5165,1000002,SD041,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000178,KA51D3448,1000003,SD042,1000303,Available,INACTIVE,NULL,NULL,NULL,,,NULL
1000179,KA53C6664,1000003,SD043,1000304,Available,INACTIVE,NULL,NULL,NULL,,,NULL
1000180,KA52A6222,1000003,SD044,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000181,KA41C5775,1000003,SD045,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000183,KA37R1903,1000003,SD046,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000184,KA53C1183,1000002,SD047,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000185,KA03AD2985,1000002,SD048,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000186,KA53B7850,1000003,SD049,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000187,KA04AB9098,1000002,SD050,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,,NULL
1000188,KA02AH1528,1000003,SD052,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000189,KA06AA2083,1000003,SD051,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000190,KA50A2844,1000003,SD025,1000314,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000191,KA04D6692,1000003,SD053,NULL,Discontinued,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000193,KA04D7260,1000002,SD054,1000323,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000194,KA05AF8824,1000002,SD055,1000327,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000195,KA41C7317,1000003,SD056,1000329,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000196,KA53C4633,1000002,SD057,1000330,Available,INACTIVE,NULL,NULL,NULL, ,Bumper to bumper,NULL
1000197,KA04AB7069,1000003,SD058,1000414,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000198,KA03AD3404,1000001,SD059,1000336,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000199,KA08A0908,1000003,SD060,1000337,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000200,KA04AA5069,1000001,MUV004,1000341,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000201,KA53D3779,1000003,SD061,1000342,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000202,KA05AJ7409,1000003,SD062,1000344,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000203,KA52A8740,1000000,HB-D004,1000426,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000204,KA03AE4994,1000002,SD063,1000347,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000205,KA51D2170,1000000,HBD003,NULL,Out for Service,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000206,KA40A5860,1000003,SD064,1000354,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000207,KA01AG0629,1000003,SD065,1000356,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000209,KA02AC5630,1000000,HBD004,1000357,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000210,KA51C0912,1000000,HBD005,NULL,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000211,KA53B5889,1000002,SD066,1000359,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000212,KA31A0552,1000002,SD067,1000361,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000213,KA04AB7665,1000003,SD068,1000360,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000214,KA13B7419,1000000,HBD006,1000362,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000215,KA02AB9898,1000001,PV001,1000365,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000216,KA04AC1511,1000003,SD069,1000366,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000217,KA05AE1157,1000001,TT001,NULL,Deleted,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000218,KA541568,1000001,TT001,1000367,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000222,KA-05-AE1157,1000001,TT-002,1000368,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000223,KA04AC0239,1000003,SD070,1000370,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000224,KA04AA8635,1000003,SD071,1000371,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000225,KA51C7172,1000002,SD072,1000372,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000226,KA05AF2684,1000000,HBD007,1000375,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000227,KA03AD2282,1000000,HBD008,1000376,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
1000228,KA01AF7463,1000000,HBD009,1000377,Available,INACTIVE,NULL,NULL,NULL,,Bumper to bumper,NULL
